Commercial Paper,,
Onshore Borrowing,,
Offshore Borrowing,,
Unstructured Long Term Debt,,
Structured Long Term Debt,,
Government Supported Debt,,
Unsecured Notes,,
Structured Notes,,
Wholesale CDs,,
Draws on Committed Lines,,
Free Credits,,
Other Unsecured Financing,,
