(100) Foreign Central Banking Borrowing (§.32(k)),
Field,Value
Reporting Entity,LCR Firm
PID,"O.S.6 (foreign central banks where the sovereign
has established an LCR outflow rate; if the
foreign central bank has not established an
outflow rate, then the outflow should be
calculated through the secured funding tables
above)"
Product,Matches PID
Sub‐Product,Specific central bank
Maturity Amount,*
Maturity Bucket,<= 30 calendar days
Maturity Optionality,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,*
Collateral Value,*
