(54) Other level 1 HQLA securities (§.106(a)(1)(vi)),
Field,Value
Reporting Entity,NSFR Entity
PID,"I.A.1, 2, 5, 7"
Product,Matches PID
Sub-Product,#
Market Value,*
Lendable Value,#
Maturity Bucket,#
Forward Start Amount,NULL
Forward Start Bucket,NULL
Collateral Class,"A-1-Q, A-2-Q, A-3-Q, A-4-Q, A-5-Q, S-1-Q, S-2-Q, S-
3-Q, S-4-Q"
Treasury Control,#
Accounting Designation,#
Effective Maturity Bucket,< 6 Months or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Internal Counterparty,#
