(86) Unsecured lending to financial sector entities maturing in ≥ 1 year (§.106(a)(7)),
Field,Value
Reporting Entity,NSFR Entity
PID,"I.U.1, 2, 4, 5, 6, 8"
Product,Matches PID
Counterparty,Financial Sector Entity
G-SIB,#
Maturity Amount,*
Maturity Bucket,≥ 1 Year
Maturity Optionality,#
Effective Maturity Bucket,< 1 Year or NULL
Encumbrance Type,"Not Derivative VM, Derivative IM and DFC or
Covered Federal Reserve Facility Funding"
Forward Start Amount,NULL
Forward Start Bucket,NULL
Internal,#
Internal Counterparty,#
Risk Weight,#
Business Line,#
